Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",29.250000,-32.350000,-90.000000,top
"C2","1u","C_0603_1608Metric",59.630000,-71.180000,90.000000,top
"C3","1u","C_0603_1608Metric",65.350000,-75.100000,-90.000000,top
"C4","1u","C_0603_1608Metric",28.950000,-43.450000,180.000000,top
"C5","1u","C_0603_1608Metric",69.500000,-72.100000,-90.000000,top
"C6","1u","C_0603_1608Metric",71.000000,-75.325000,-90.000000,top
"C7","100n","C_0603_1608Metric",90.400000,-73.600000,-90.000000,top
"C8","100n","C_0603_1608Metric",72.500000,-75.300000,-90.000000,top
"C9","100n","C_0603_1608Metric",51.410000,-52.955000,90.000000,top
"C10","4u7","C_0805_2012Metric",32.650000,-47.150000,180.000000,top
"C11","100n","C_0603_1608Metric",41.700000,-48.550000,90.000000,top
"C12","4u7","C_0805_2012Metric",33.300000,-44.400000,90.000000,top
"C13","100n","C_0603_1608Metric",35.200000,-46.075000,90.000000,top
"C14","100n","C_0603_1608Metric",39.700000,-44.900000,90.000000,top
"C15","4u7","C_0805_2012Metric",41.500000,-44.700000,90.000000,top
"C16","100n","C_0603_1608Metric",42.800000,-57.900000,-90.000000,top
"C17","4u7","C_0805_2012Metric",29.600000,-53.100000,-90.000000,top
"C18","100n","C_0603_1608Metric",80.700000,-61.350000,0.000000,top
"C19","1u","C_0603_1608Metric",80.700000,-62.850000,0.000000,top
"C20","100n","C_0603_1608Metric",68.000000,-69.975000,-90.000000,top
"C21","1u","C_0603_1608Metric",66.500000,-69.975000,-90.000000,top
"C22","100n","C_0603_1608Metric",77.500000,-72.900000,0.000000,top
"C23","1u","C_0603_1608Metric",77.500000,-74.400000,0.000000,top
"C24","1u","C_0603_1608Metric",26.950000,-33.100000,180.000000,top
"C25","4u7","C_0805_2012Metric",27.150000,-29.750000,180.000000,top
"C26","100n","C_0603_1608Metric",26.950000,-31.550000,180.000000,top
"C27","4u7","C_0805_2012Metric",86.150000,-68.600000,90.000000,top
"C28","100n","C_0603_1608Metric",87.900000,-68.800000,90.000000,top
"C29","100n","C_0603_1608Metric",50.750000,-74.360000,-90.000000,top
"C30","4u7","C_0805_2012Metric",48.980000,-74.580000,-90.000000,top
"C31","100n","C_0603_1608Metric",57.060000,-72.980000,-90.000000,top
"C32","100n","C_0603_1608Metric",89.190000,-52.325000,90.000000,top
"C33","4u7","C_0805_2012Metric",90.950000,-52.100000,90.000000,top
"C34","100n","C_0603_1608Metric",70.200000,-52.500000,90.000000,top
"C35","4u7","C_0805_2012Metric",72.000000,-52.300000,90.000000,top
"C36","100n","C_0603_1608Metric",63.600000,-56.450000,-90.000000,top
"C37","100n","C_0603_1608Metric",82.850000,-53.450000,90.000000,top
"C38","10n","C_0603_1608Metric",32.175000,-72.730000,180.000000,top
"C39","10n","C_0603_1608Metric",35.625000,-72.740000,0.000000,top
"C40","100n","C_0603_1608Metric",106.150000,-66.800000,0.000000,top
"C41","1u","C_0603_1608Metric",108.425000,-31.970000,180.000000,top
"C42","10n","C_0603_1608Metric",108.450000,-39.120000,180.000000,top
"C43","1u","C_0603_1608Metric",108.450000,-35.570000,180.000000,top
"C44","1u","C_0603_1608Metric",109.200000,-56.870000,90.000000,top
"C45","10n","C_0603_1608Metric",108.450000,-42.160000,180.000000,top
"C46","100n","C_0603_1608Metric",32.550000,-59.400000,180.000000,top
"C46","100n","C_0603_1608Metric",29.850000,-59.350000,-90.000000,top
"C47","100n","C_0603_1608Metric",40.475000,-59.400000,180.000000,top
"C48","100n","C_0603_1608Metric",77.975000,-56.500000,0.000000,top
"C49","10n","C_0603_1608Metric",77.975000,-58.100000,0.000000,top
"C50","100n","C_0603_1608Metric",47.600000,-55.300000,90.000000,top
"C51","10n","C_0603_1608Metric",49.100000,-55.300000,90.000000,top
"C52","100n","C_0603_1608Metric",50.800000,-62.700000,90.000000,top
"C53","10n","C_0603_1608Metric",51.600000,-65.000000,0.000000,top
"C54","100n","C_0603_1608Metric",37.400000,-59.400000,0.000000,top
"C55","100n","C_0603_1608Metric",29.850000,-56.350000,90.000000,top
"C56","100n","C_0603_1608Metric",74.000000,-75.700000,-90.000000,top
"C57","4u7","C_0805_2012Metric",58.590000,-44.550000,-90.000000,top
"C58","4u7","C_0805_2012Metric",56.550000,-44.550000,-90.000000,top
"C59","4u7","C_0805_2012Metric",54.490000,-44.550000,-90.000000,top
"C60","100n","C_0603_1608Metric",52.750000,-44.350000,-90.000000,top
"C61","100n","C_0603_1608Metric",60.350000,-44.300000,-90.000000,top
