Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,29.25,-32.35,-90,top
C2,1u,C_0603_1608Metric,59.63,-71.18,90,top
C3,1u,C_0603_1608Metric,65.35,-75.1,-90,top
C4,1u,C_0603_1608Metric,28.95,-43.45,180,top
C5,1u,C_0603_1608Metric,69.5,-72.1,-90,top
C6,1u,C_0603_1608Metric,71,-75.325,-90,top
C7,100n,C_0603_1608Metric,90.4,-73.6,-90,top
C8,100n,C_0603_1608Metric,72.5,-75.3,-90,top
C9,100n,C_0603_1608Metric,51.41,-52.955,90,top
C10,4u7,C_0805_2012Metric,32.65,-47.15,180,top
C11,100n,C_0603_1608Metric,41.7,-48.55,90,top
C12,4u7,C_0805_2012Metric,33.3,-44.4,90,top
C13,100n,C_0603_1608Metric,35.2,-46.075,90,top
C14,100n,C_0603_1608Metric,39.7,-44.9,90,top
C15,4u7,C_0805_2012Metric,41.5,-44.7,90,top
C16,100n,C_0603_1608Metric,42.8,-57.9,-90,top
C17,4u7,C_0805_2012Metric,29.6,-53.1,-90,top
C18,100n,C_0603_1608Metric,80.7,-61.35,0,top
C19,1u,C_0603_1608Metric,80.7,-62.85,0,top
C20,100n,C_0603_1608Metric,68,-69.975,-90,top
C21,1u,C_0603_1608Metric,66.5,-69.975,-90,top
C22,100n,C_0603_1608Metric,77.5,-72.9,0,top
C23,1u,C_0603_1608Metric,77.5,-74.4,0,top
C24,1u,C_0603_1608Metric,26.95,-33.1,180,top
C25,4u7,C_0805_2012Metric,27.15,-29.75,180,top
C26,100n,C_0603_1608Metric,26.95,-31.55,180,top
C27,4u7,C_0805_2012Metric,86.15,-68.6,90,top
C28,100n,C_0603_1608Metric,87.9,-68.8,90,top
C29,100n,C_0603_1608Metric,50.75,-74.36,-90,top
C30,4u7,C_0805_2012Metric,48.98,-74.58,-90,top
C31,100n,C_0603_1608Metric,57.06,-72.98,-90,top
C32,100n,C_0603_1608Metric,89.19,-52.325,90,top
C33,4u7,C_0805_2012Metric,90.95,-52.1,90,top
C34,100n,C_0603_1608Metric,70.2,-52.5,90,top
C35,4u7,C_0805_2012Metric,72,-52.3,90,top
C36,100n,C_0603_1608Metric,63.6,-56.45,-90,top
C37,100n,C_0603_1608Metric,82.85,-53.45,90,top
C38,10n,C_0603_1608Metric,32.175,-72.73,180,top
C39,10n,C_0603_1608Metric,35.625,-72.74,0,top
C40,100n,C_0603_1608Metric,106.15,-66.8,0,top
C41,1u,C_0603_1608Metric,108.425,-31.97,180,top
C42,10n,C_0603_1608Metric,108.45,-39.12,180,top
C43,1u,C_0603_1608Metric,108.45,-35.57,180,top
C44,1u,C_0603_1608Metric,109.2,-56.87,90,top
C45,10n,C_0603_1608Metric,108.45,-42.16,180,top
C46,100n,C_0603_1608Metric,32.55,-59.4,180,top
C46,100n,C_0603_1608Metric,29.85,-59.35,-90,top
C47,100n,C_0603_1608Metric,40.475,-59.4,180,top
