Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,30.3,-36.2,180,top
C2,1u,C_0603_1608Metric,58.925,-71.6,180,top
C3,1u,C_0603_1608Metric,65.35,-75.1,90,top
C4,1u,C_0603_1608Metric,30.85,-78.2,0,top
C5,1u,C_0603_1608Metric,69.5,-72.1,-90,top
C6,1u,C_0603_1608Metric,71,-75.325,-90,top
C8,100n,C_0603_1608Metric,72.5,-75.3,-90,top
C9,100n,C_0603_1608Metric,43.3,-43.8,90,top
C10,4u7,C_0805_2012Metric,32.65,-44.65,180,top
C11,100n,C_0603_1608Metric,41.7,-46.05,90,top
C12,4u7,C_0805_2012Metric,33.3,-41.9,90,top
C13,100n,C_0603_1608Metric,35.2,-43.575,90,top
C14,100n,C_0603_1608Metric,39.7,-42.4,90,top
C15,4u7,C_0805_2012Metric,41.5,-42.2,90,top
C16,100n,C_0603_1608Metric,42.8,-55.4,-90,top
C17,4u7,C_0805_2012Metric,29.6,-50.6,-90,top
C18,100n,C_0603_1608Metric,80.7,-61.35,0,top
C19,1u,C_0603_1608Metric,80.7,-62.85,0,top
C20,100n,C_0603_1608Metric,68,-69.975,-90,top
C21,1u,C_0603_1608Metric,66.5,-69.975,-90,top
C22,100n,C_0603_1608Metric,77.5,-72.9,0,top
C23,1u,C_0603_1608Metric,77.5,-74.4,0,top
C24,1u,C_0603_1608Metric,29.7,-64,0,top
C25,4u7,C_0805_2012Metric,29.9,-67.35,0,top
C26,100n,C_0603_1608Metric,29.7,-65.55,0,top
C27,4u7,C_0805_2012Metric,86.15,-68.6,90,top
C28,100n,C_0603_1608Metric,87.9,-68.8,90,top
C29,100n,C_0603_1608Metric,48,-69.9,-90,top
C30,4u7,C_0805_2012Metric,46.2,-70.1,-90,top
C31,100n,C_0603_1608Metric,55.2,-74.4,-90,top
C32,100n,C_0603_1608Metric,94.3,-56.025,90,top
C33,4u7,C_0805_2012Metric,92.5,-55.85,90,top
C34,100n,C_0603_1608Metric,70.4,-56,90,top
C35,4u7,C_0805_2012Metric,72.2,-55.8,90,top
C36,100n,C_0603_1608Metric,64.9,-59.375,-90,top
C37,100n,C_0603_1608Metric,82.4,-53.7,-90,top
C40,100n,C_0603_1608Metric,109.1,-78.1,90,top
C41,100n,C_0603_1608Metric,113.5975,-66.65,90,top
C42,10n,C_0603_1608Metric,113.5975,-43.425,90,top
C43,100n,C_0603_1608Metric,113.8,-38.75,90,top
C44,100n,C_0603_1608Metric,112.975,-52.2,180,top
C45,10n,C_0603_1608Metric,113.8975,-31.125,90,top
C46,100n,C_0603_1608Metric,32.55,-56.9,180,top
C46,100n,C_0603_1608Metric,29.85,-56.85,-90,top
C47,100n,C_0603_1608Metric,40.475,-56.9,180,top
C48,100n,C_0603_1608Metric,78.3,-57.2,90,top
C49,10n,C_0603_1608Metric,79.9,-57.2,90,top
C50,100n,C_0603_1608Metric,47.6,-55.3,90,top
C51,10n,C_0603_1608Metric,49.1,-55.3,90,top
C52,100n,C_0603_1608Metric,50.8,-62.7,90,top
C53,10n,C_0603_1608Metric,51.6,-65,0,top
C54,100n,C_0603_1608Metric,37.4,-56.9,0,top
C55,100n,C_0603_1608Metric,29.85,-53.85,90,top
C56,100n,C_0603_1608Metric,74,-75.7,-90,top
D1,1N4148W,D_SOD-123,62.825,-71.1,180,top
D2,LED,LED_0805_2012Metric,45.8,-81,-90,top
D3,LED,LED_0805_2012Metric,52.7,-81,-90,top
D4,LED,LED_0805_2012Metric,59.6,-81,-90,top
D5,LED,LED_0805_2012Metric,66.5,-81,-90,top
D6,LED,LED_0805_2012Metric,73.4,-81,-90,top
D7,LED,LED_0805_2012Metric,80.3,-81,-90,top
D8,LED,LED_0805_2012Metric,87.2,-81,-90,top
D9,LED,LED_0805_2012Metric,94.1,-81,-90,top
D10,LED_ABGR,LED_Cree-PLCC4_2x2mm_CW,83.4125,-68.65,0,top
D11,LED,LED_0805_2012Metric,38.9875,-64.25,0,top
D12,LED,LED_0805_2012Metric,38.9875,-61.45,0,top
FB1,FerriteBead_Small,L_0603_1608Metric,31.5,-42.1,90,top
FB2,FerriteBead_Small,L_0603_1608Metric,43.25,-40.5,90,top
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,35.92,-28.575,180,top
Q1,MMBT2907,SOT-23,46.5,-44.5,270,top
